CharacteristicName,ResultMeasureValue,ResultMeasure/MeasureUnitCode,ActivityStartDate,MonitoringLocationIdentifier,OrganizationFormalName,ResultStatusIdentifier
Copper,0.00079,mg/L,2018-05-17,MNPCA-S009-159,Minnesota Pollution Control Agency - Ambient Surface Water,Final
Copper,0.007,mg/L,2018-06-19,MDEQ_WQ_WQX-Y03YELSR03,Montana DEQ WQPB,Final
Copper,0.01,mg/L,2018-05-15,21SC60WQ_WQX-MD-277,South Carolina Department of Environmental Services,Final
Copper,0.01,mg/L,2018-11-08,21SC60WQ_WQX-S-004,South Carolina Department of Environmental Services,Final
Copper,4.0,mg/L,2018-06-11,CMCNRMI_WQX-LFPE-05,Colorado Mountain College Natural Resource Management,Final
Copper,0.002,mg/L,2018-05-08,MT305B_SECONDARYDATA-LC-4,Montana 303d/305b Call for Secondary Data,Final
Copper,0.0006,mg/L,2018-08-29,USACOEND-BAR20002,"U.S. Army Corps of Engineers, Nashville District",Final
Copper,0.01,mg/L,2018-09-11,21SC60WQ_WQX-S-311,South Carolina Department of Environmental Services,Final
Copper,0.0016,mg/L,2018-08-14,CEDEN-ES_HDG_102,California State Water Resources Control Board,Final
Copper,0.0035,mg/L,2018-09-25,SANDIAWQ_WQX-SL#3,Pueblo of Sandia Water Quality Program (New Mexico),Final
Copper,0.000744,mg/L,2018-03-14,KNRD_WQX-PORB,Kalispel Indian Community of the Kalispel Reservation (Tribal),Final
Copper,0.0089,mg/L,2018-10-24,AZDEQ_SW-69,AZDEQ_SW,Final
Copper,0.01,mg/L,2018-12-11,21SC60WQ_WQX-S-308,South Carolina Department of Environmental Services,Final
Copper,0.01,mg/L,2018-03-06,21SC60WQ_WQX-S-096,South Carolina Department of Environmental Services,Final
Copper,0.01,mg/L,2018-05-24,21SC60WQ_WQX-MD-130,South Carolina Department of Environmental Services,Final
Copper,0.0006,mg/L,2018-08-14,MDEQ_WQ_WQX-Y03YELSR03,Montana DEQ WQPB,Final
Copper,0.01,mg/L,2018-05-09,MDEQ_REM_WQX-FC-CFR,Montana DEQ Remediation,Final
Copper,0.01,mg/L,2018-11-13,21SC60WQ_WQX-RO-18423,South Carolina Department of Environmental Services,Final
Copper,0.01,mg/L,2018-06-05,21SC60WQ_WQX-RS-18419,South Carolina Department of Environmental Services,Final
Copper,0.0006,mg/L,2018-08-13,MDEQ_WQ_WQX-Y12YELSR90,Montana DEQ WQPB,Final
Copper,1.0,mg/L,2018-06-05,CMCNRMI_WQX-LFP-05,Colorado Mountain College Natural Resource Management,Final
Copper,0.0,mg/L,2018-07-10,LOWERARKVALLEYWATERCONSDIST-Reed North,Lower Arkansas Valley Water Conservation District,Final
Copper,0.0008,mg/L,2018-10-02,MDEQ_WQ_WQX-M10SMTHR95,Montana DEQ WQPB,Final
Copper,0.01,mg/L,2018-07-24,21SC60WQ_WQX-B-048,South Carolina Department of Environmental Services,Final
Copper,0.01,mg/L,2018-08-09,21SC60WQ_WQX-RS-18422,South Carolina Department of Environmental Services,Final
Copper,0.023,mg/L,2018-03-01,CEDEN-GSPPA - D,California State Water Resources Control Board,Final
Copper,0.25,mg/L,2018-10-03,CMCNRMI_WQX-LFP-05,Colorado Mountain College Natural Resource Management,Final
Copper,0.01,mg/L,2018-12-11,21SC60WQ_WQX-RS-18406,South Carolina Department of Environmental Services,Final
Copper,0.00099,mg/L,2018-11-08,AZDEQ_SW-2438,AZDEQ_SW,Final
Copper,0.0179,mg/L,2018-04-27,CBS-T-10,CBS Operations Inc.,Accepted
Copper,0.048,mg/L,2018-09-19,AZDEQ_SW-2426,AZDEQ_SW,Final
Copper,0.0,mg/L,2018-10-29,LOWERARKVALLEYWATERCONSDIST-McClave 2,Lower Arkansas Valley Water Conservation District,Final
Copper,0.001,mg/L,2018-08-09,MDEQ_WQ_WQX-Y06YELSR20,Montana DEQ WQPB,Final
Copper,3.91,mg/L,2018-09-06,CMCNRMI_WQX-LFP-01,Colorado Mountain College Natural Resource Management,Final
Copper,0.01,mg/L,2018-06-28,21SC60WQ_WQX-B-062,South Carolina Department of Environmental Services,Final
Copper,0.016,mg/L,2018-08-22,AZDEQ_SW-2440,AZDEQ_SW,Final
Copper,0.0,mg/L,2018-08-09,LOWERARKVALLEYWATERCONSDIST-McClave 6,Lower Arkansas Valley Water Conservation District,Final
Copper,0.00076,mg/L,2018-09-26,AZDEQ_SW-2426,AZDEQ_SW,Final
Copper,0.00085,mg/L,2018-06-20,AZDEQ_SW-1935,AZDEQ_SW,Final
Copper,0.003,mg/L,2018-07-27,MDEQ_WQ_WQX-C05OVWHC03,Montana DEQ WQPB,Final
Copper,0.007,mg/L,2018-06-14,MDEQ_WQ_WQX-Y12YELSR20,Montana DEQ WQPB,Final
Copper,0.21,mg/L,2018-10-02,AZDEQ_SW-2440,AZDEQ_SW,Final
Copper,0.012,mg/L,2018-08-22,AZDEQ_SW-2440,AZDEQ_SW,Final
Copper,0.011,mg/L,2018-11-29,MDEQ_REM_WQX-SS-07,Montana DEQ Remediation,Final
Copper,0.006,mg/L,2018-10-23,11NPSWRD_WQX-GRSM_ND_4135,National Park Service Water Resources Division,Final
Copper,0.0073,mg/L,2018-03-29,11NPSWRD_WQX-GRSM_ND_4135,National Park Service Water Resources Division,Final
Copper,0.01,mg/L,2018-08-15,21SC60WQ_WQX-RT-18191,South Carolina Department of Environmental Services,Final
Copper,0.0017,mg/L,2018-10-02,AZDEQ_SW-61951,AZDEQ_SW,Final
Copper,0.00459,mg/L,2018-09-15,11NPSWRD_WQX-GRSM_F_0423,National Park Service Water Resources Division,Final
Copper,0.01,mg/L,2018-05-21,21SC60WQ_WQX-B-080,South Carolina Department of Environmental Services,Final
Copper,0.00822,mg/L,2018-09-15,11NPSWRD_WQX-GRSM_F_0326,National Park Service Water Resources Division,Final
Copper,0.01,mg/L,2018-01-24,21SC60WQ_WQX-C-015,South Carolina Department of Environmental Services,Final
Copper,0.01,mg/L,2018-11-08,21SC60WQ_WQX-MD-273,South Carolina Department of Environmental Services,Final
Copper,0.0011,mg/L,2018-06-14,AZDEQ_SW-2234,AZDEQ_SW,Final
Copper,0.0,mg/L,2018-07-11,LOWERARKVALLEYWATERCONSDIST-Heckman South,Lower Arkansas Valley Water Conservation District,Final
Copper,0.0014,mg/L,2018-09-27,SOUTHUTE-SUIT3,Southern Ute Tribe,Final
Copper,0.01,mg/L,2018-05-10,CMCNRMI_WQX-LFPW-06,Colorado Mountain College Natural Resource Management,Final
Copper,0.01,mg/L,2018-02-08,21SC60WQ_WQX-MD-264,South Carolina Department of Environmental Services,Final
Copper,0.116,mg/L,2018-02-05,MIDNITE_2-SW-20,Midnite Mine Environmental Data,Final
Copper,0.28,mg/L,2018-09-20,CMCNRMI_WQX-LFP-05,Colorado Mountain College Natural Resource Management,Final
Copper,0.01,mg/L,2018-02-22,21SC60WQ_WQX-RO-18411,South Carolina Department of Environmental Services,Final
Copper,0.00055,mg/L,2018-03-29,AZDEQ_SW-1954,AZDEQ_SW,Final
Copper,3.73,mg/L,2018-05-31,CMCNRMI_WQX-LFPE-05,Colorado Mountain College Natural Resource Management,Final
Copper,3.72,mg/L,2018-05-31,CMCNRMI_WQX-LFPE-05,Colorado Mountain College Natural Resource Management,Final
Copper,0.15,mg/L,2018-05-10,CMCNRMI_WQX-COG-07,Colorado Mountain College Natural Resource Management,Final
Copper,0.0021,mg/L,2018-04-06,CBS-T-18,CBS Operations Inc.,Accepted
Copper,0.0007,mg/L,2018-07-18,USACOEND-BAR10001,"U.S. Army Corps of Engineers, Nashville District",Final
Copper,0.01,mg/L,2018-03-01,21SC60WQ_WQX-SV-250,South Carolina Department of Environmental Services,Final
Copper,0.00456,mg/L,2018-11-17,11NPSWRD_WQX-GRSM_F_0293,National Park Service Water Resources Division,Final
Copper,0.00778,mg/L,2018-09-11,11NPSWRD_WQX-GRSM_F_0310,National Park Service Water Resources Division,Final
Copper,0.00734,mg/L,2018-09-15,11NPSWRD_WQX-GRSM_F_0489,National Park Service Water Resources Division,Final
Copper,0.01,mg/L,2018-10-02,21SC60WQ_WQX-MD-116,South Carolina Department of Environmental Services,Final
Copper,0.215,mg/L,2018-05-18,SMWC-SMWC_IB01,San Miguel Watershed Coalition (Volunteer)*,Final
Copper,0.0029,mg/L,2018-04-26,MIDNITE_2-MWED-03,Midnite Mine Environmental Data,Final
Copper,0.0006,mg/L,2018-08-14,MDEQ_WQ_WQX-Y01YELSR90,Montana DEQ WQPB,Final
Copper,0.01,mg/L,2018-06-07,21SC60WQ_WQX-B-339,South Carolina Department of Environmental Services,Final
Copper,5.24,mg/L,2018-08-30,CMCNRMI_WQX-LFPE-05,Colorado Mountain College Natural Resource Management,Final
Copper,0.003,mg/L,2018-04-06,CBS-E-22,CBS Operations Inc.,Accepted
Copper,0.088,mg/L,2018-12-11,SFNOES_WQX-North Canadian 002,Sac and Fox Nation (Tribal),Final
Copper,0.0,mg/L,2018-08-09,LOWERARKVALLEYWATERCONSDIST-McClave 5,Lower Arkansas Valley Water Conservation District,Final
Copper,0.18,mg/L,2018-10-16,AZDEQ_SW-565,AZDEQ_SW,Final
Copper,0.01,mg/L,2018-04-10,21SC60WQ_WQX-E-102,South Carolina Department of Environmental Services,Final
Copper,0.00086,mg/L,2018-02-28,AZDEQ_SW-61785,AZDEQ_SW,Final
Copper,0.00879,mg/L,2018-09-15,11NPSWRD_WQX-GRSM_F_0149,National Park Service Water Resources Division,Final
Copper,0.01,mg/L,2018-08-28,21SC60WQ_WQX-CSTL-102,South Carolina Department of Environmental Services,Final
Copper,0.00088,mg/L,2018-05-09,AZDEQ_SW-47,AZDEQ_SW,Final
Copper,4.63,mg/L,2018-08-23,CMCNRMI_WQX-LFPE-05,Colorado Mountain College Natural Resource Management,Final
Copper,0.01,mg/L,2018-10-29,21SC60WQ_WQX-CW-252,South Carolina Department of Environmental Services,Final
Copper,0.0047,mg/L,2018-09-19,AZDEQ_SW-2426,AZDEQ_SW,Final
Copper,0.00084,mg/L,2018-04-05,SRPMIC-VR-2,Salt River Pima-Maricopa Indian Community (SRPMIC) (Tribal),Accepted
Copper,0.083,mg/L,2018-03-09,KAWNATON_WQX-KN-BB1,"Kaw Nation, Oklahoma (Tribal)",Final
Copper,0.01,mg/L,2018-08-07,21SC60WQ_WQX-RT-18180,South Carolina Department of Environmental Services,Final
Copper,0.0021,mg/L,2018-06-07,SOUTHUTE-AR 16-0,Southern Ute Tribe,Final
Copper,0.01,mg/L,2018-04-03,21SC60WQ_WQX-CL-019,South Carolina Department of Environmental Services,Final
Copper,0.14,mg/L,2018-02-15,KAWNATON_WQX-KN-KL-002,"Kaw Nation, Oklahoma (Tribal)",Final
Copper,0.046,mg/L,2018-05-10,KAWNATON_WQX-KN-AR-003,"Kaw Nation, Oklahoma (Tribal)",Final
Copper,0.01,mg/L,2018-05-07,21SC60WQ_WQX-RS-17340,South Carolina Department of Environmental Services,Final
Copper,0.005,mg/L,2018-10-03,MDEQ_REM_WQX-GW-CR-ES,Montana DEQ Remediation,Final
Copper,0.091,mg/L,2018-10-07,AZDEQ_SW-1352,AZDEQ_SW,Final
Copper,0.01,mg/L,2018-06-25,21SC60WQ_WQX-S-131,South Carolina Department of Environmental Services,Final
Copper,0.0002,mg/L,2018-08-23,MDEQ_WQ_WQX-C04DEERC01,Montana DEQ WQPB,Final
Copper,0.01,mg/L,2018-11-15,21SC60WQ_WQX-PD-201,South Carolina Department of Environmental Services,Final
Copper,0.0,mg/L,2018-07-11,LOWERARKVALLEYWATERCONSDIST-Heckman North,Lower Arkansas Valley Water Conservation District,Final
Copper,0.01,mg/L,2018-08-13,21SC60WQ_WQX-S-125,South Carolina Department of Environmental Services,Final
Copper,0.0079,mg/L,2018-09-11,11NPSWRD_WQX-GRSM_F_0311,National Park Service Water Resources Division,Final
Copper,0.01,mg/L,2018-01-25,21SC60WQ_WQX-CSTL-125,South Carolina Department of Environmental Services,Final
Copper,0.0021,mg/L,2018-04-02,MNPCA-SS00037,Minnesota Pollution Control Agency - Ambient Surface Water,Final
Copper,0.01,mg/L,2018-02-15,21SC60WQ_WQX-MD-277,South Carolina Department of Environmental Services,Final
Copper,0.004,mg/L,2018-09-11,MDEQ_REM_WQX-CFR-03A,Montana DEQ Remediation,Final
Copper,0.01,mg/L,2018-08-08,21SC60WQ_WQX-CW-040,South Carolina Department of Environmental Services,Final
Copper,0.004,mg/L,2018-11-29,MDEQ_REM_WQX-SS-07,Montana DEQ Remediation,Final
Copper,0.001,mg/L,2018-06-11,MDEQ_WQ_WQX-Y23YELLR01,Montana DEQ WQPB,Final
Copper,0.01,mg/L,2018-03-14,21SC60WQ_WQX-B-320,South Carolina Department of Environmental Services,Final
Copper,0.03,mg/L,2018-08-23,CMCNRMI_WQX-LFPW-05,Colorado Mountain College Natural Resource Management,Final
Copper,0.049,mg/L,2018-04-05,KAWNATON_WQX-KN-AR-002,"Kaw Nation, Oklahoma (Tribal)",Final
Copper,0.01,mg/L,2018-04-17,21SC60WQ_WQX-S-102,South Carolina Department of Environmental Services,Final
Copper,0.017,mg/L,2018-03-21,MDEQ_REM_WQX-SS-16B,Montana DEQ Remediation,Final
Copper,0.0016,mg/L,2018-07-18,MNPCA-S009-159,Minnesota Pollution Control Agency - Ambient Surface Water,Final
Copper,0.0119,mg/L,2018-12-18,SOUTHUTE-SUIT19,Southern Ute Tribe,Final
Copper,0.339,mg/L,2018-09-17,KAWNATON_WQX-KN-KL-002,"Kaw Nation, Oklahoma (Tribal)",Final
Copper,1.02,mg/L,2018-06-29,CMCNRMI_WQX-LFP-05,Colorado Mountain College Natural Resource Management,Final
Copper,0.0,mg/L,2018-10-30,LOWERARKVALLEYWATERCONSDIST-Reed East,Lower Arkansas Valley Water Conservation District,Final
Copper,0.00086,mg/L,2018-06-22,AZDEQ_SW-1080,AZDEQ_SW,Final
Copper,2.04,mg/L,2018-02-28,MIDNITE_2-GW-54,Midnite Mine Environmental Data,Final
Copper,0.01,mg/L,2018-07-24,21SC60WQ_WQX-SV-373,South Carolina Department of Environmental Services,Final
Copper,0.01,mg/L,2018-07-10,21SC60WQ_WQX-MD-117,South Carolina Department of Environmental Services,Final
Copper,0.01,mg/L,2018-06-18,21SC60WQ_WQX-SV-338,South Carolina Department of Environmental Services,Final
Copper,0.012,mg/L,2018-11-29,MDEQ_REM_WQX-SS-06G,Montana DEQ Remediation,Final
Copper,0.000981,mg/L,2018-09-26,MIDNITE_2-SW-2,Midnite Mine Environmental Data,Final
Copper,0.65,mg/L,2018-08-31,AZDEQ_SW-471,AZDEQ_SW,Final
Copper,0.047,mg/L,2018-09-28,AZDEQ_SW-1285,AZDEQ_SW,Final
Copper,0.003,mg/L,2018-06-20,MDEQ_WQ_WQX-Y03YELSR26,Montana DEQ WQPB,Final
Copper,0.03,mg/L,2018-05-10,MDEQ_REM_WQX-MCWC-MWB,Montana DEQ Remediation,Final
Copper,0.0032,mg/L,2018-09-06,AZDEQ_SW-1056,AZDEQ_SW,Final
Copper,0.038,mg/L,2018-03-22,MDEQ_REM_WQX-SS-01,Montana DEQ Remediation,Final
Copper,0.01,mg/L,2018-10-04,21SC60WQ_WQX-MD-256,South Carolina Department of Environmental Services,Final
Copper,0.00081,mg/L,2018-11-21,AZDEQ_SW-62030,AZDEQ_SW,Final
Copper,0.025,mg/L,2018-10-14,AZDEQ_SW-562,AZDEQ_SW,Final
Copper,0.0027,mg/L,2018-09-27,CBS-LIB- 4,CBS Operations Inc.,Accepted
Copper,0.01,mg/L,2018-06-07,21SC60WQ_WQX-B-350,South Carolina Department of Environmental Services,Final
Copper,0.0042,mg/L,2018-10-12,SMWC-SMWC_26_MC,San Miguel Watershed Coalition (Volunteer)*,Final
Copper,0.01,mg/L,2018-05-01,21SC60WQ_WQX-S-125,South Carolina Department of Environmental Services,Final
Copper,0.0004,mg/L,2018-07-23,MDEQ_WQ_WQX-C05TINCC03,Montana DEQ WQPB,Final
Copper,0.016,mg/L,2018-08-20,KAWNATON_WQX-KN-AR-003,"Kaw Nation, Oklahoma (Tribal)",Final
Copper,0.0006,mg/L,2018-08-28,USACOEND-CHE10001,"U.S. Army Corps of Engineers, Nashville District",Final
Copper,0.0,mg/L,2018-10-30,LOWERARKVALLEYWATERCONSDIST-Diamond A Tile Drain,Lower Arkansas Valley Water Conservation District,Final
Copper,0.002,mg/L,2018-09-11,MDEQ_REM_WQX-MWB-SBC,Montana DEQ Remediation,Final
Copper,0.01,mg/L,2018-03-07,21SC60WQ_WQX-ST-001,South Carolina Department of Environmental Services,Final
Copper,0.005,mg/L,2018-10-02,MDEQ_REM_WQX-LYS-04R,Montana DEQ Remediation,Final
Copper,32.0,mg/L,2018-03-13,CEDEN-MCO-014,California State Water Resources Control Board,Final
Copper,0.14,mg/L,2018-10-07,AZDEQ_SW-1352,AZDEQ_SW,Final
Copper,0.0003,mg/L,2018-09-10,MDEQ_WQ_WQX-M10SMTHR95,Montana DEQ WQPB,Final
Copper,0.0014,mg/L,2018-04-19,MNPCA-S009-161,Minnesota Pollution Control Agency - Ambient Surface Water,Final
Copper,0.016,mg/L,2018-08-09,AZDEQ_SW-1635,AZDEQ_SW,Final
Copper,0.01,mg/L,2018-01-16,21SC60WQ_WQX-MD-120,South Carolina Department of Environmental Services,Final
Copper,0.006,mg/L,2018-08-14,MNPCA-S003-905,Minnesota Pollution Control Agency - Ambient Surface Water,Final
Copper,0.01118,mg/L,2018-01-27,11NPSWRD_WQX-GRSM_F_0259,National Park Service Water Resources Division,Final
Copper,0.01,mg/L,2018-05-17,21SC60WQ_WQX-B-349,South Carolina Department of Environmental Services,Final
Copper,0.0149,mg/L,2018-01-26,11NPSWRD_WQX-GRSM_ND_TF,National Park Service Water Resources Division,Final
Copper,0.00081,mg/L,2018-04-19,AZDEQ_SW-670,AZDEQ_SW,Final
Copper,0.0011,mg/L,2018-06-20,USACOEND-BAR20002,"U.S. Army Corps of Engineers, Nashville District",Final
Copper,0.03,mg/L,2018-07-17,CMCNRMI_WQX-LFPW-05,Colorado Mountain College Natural Resource Management,Final
Copper,0.01,mg/L,2018-12-13,21SC60WQ_WQX-E-050,South Carolina Department of Environmental Services,Final
Copper,0.0008,mg/L,2018-06-12,MDEQ_WQ_WQX-Y17YELSR08,Montana DEQ WQPB,Final
Copper,0.0049,mg/L,2018-01-03,AZDEQ_SW-2169,AZDEQ_SW,Final
Copper,0.026,mg/L,2018-11-29,MDEQ_REM_WQX-SS-11C,Montana DEQ Remediation,Final
Copper,0.01,mg/L,2018-08-14,21SC60WQ_WQX-B-136,South Carolina Department of Environmental Services,Final
Copper,0.01,mg/L,2018-01-22,21SC60WQ_WQX-SV-233,South Carolina Department of Environmental Services,Final
Copper,0.1,mg/L,2018-10-16,AZDEQ_SW-1360,AZDEQ_SW,Final
Copper,0.001,mg/L,2018-06-07,MDEQ_WQ_WQX-M01TRALC25,Montana DEQ WQPB,Final
Copper,0.0013,mg/L,2018-03-14,AZDEQ_SW-382,AZDEQ_SW,Final
Copper,0.0079,mg/L,2018-09-11,11NPSWRD_WQX-GRSM_F_0484,National Park Service Water Resources Division,Final
Copper,0.01,mg/L,2018-06-25,21SC60WQ_WQX-CW-230,South Carolina Department of Environmental Services,Final
Copper,0.061,mg/L,2018-12-17,KAWNATON_WQX-KN-KL-002,"Kaw Nation, Oklahoma (Tribal)",Final
Copper,0.000147,mg/L,2018-05-30,MIDNITE_2-MWNE-01,Midnite Mine Environmental Data,Final
Copper,0.012,mg/L,2018-08-22,AZDEQ_SW-2440,AZDEQ_SW,Final
Copper,0.00424,mg/L,2018-11-17,11NPSWRD_WQX-GRSM_F_0148,National Park Service Water Resources Division,Final
Copper,4.61,mg/L,2018-08-23,CMCNRMI_WQX-LFPE-05,Colorado Mountain College Natural Resource Management,Final
Copper,0.005,mg/L,2018-09-11,MDEQ_REM_WQX-SBC-P2,Montana DEQ Remediation,Final
Copper,0.082,mg/L,2018-09-19,AZDEQ_SW-2426,AZDEQ_SW,Final
Copper,0.196,mg/L,2018-10-04,KAWNATON_WQX-KN-KL-001,"Kaw Nation, Oklahoma (Tribal)",Final
Copper,0.026,mg/L,2018-06-07,MDEQ_REM_WQX-SS-11C,Montana DEQ Remediation,Final
Copper,0.01,mg/L,2018-07-23,21SC60WQ_WQX-RL-18079,South Carolina Department of Environmental Services,Final
Copper,0.06,mg/L,2018-04-05,KAWNATON_WQX-KN-KL-002,"Kaw Nation, Oklahoma (Tribal)",Final
Copper,0.0008,mg/L,2018-05-15,USACOEND-CEN20002,"U.S. Army Corps of Engineers, Nashville District",Final
Copper,0.0022,mg/L,2018-03-08,MNPCA-SS00037,Minnesota Pollution Control Agency - Ambient Surface Water,Final
Copper,0.01,mg/L,2018-04-02,21SC60WQ_WQX-RL-18081,South Carolina Department of Environmental Services,Final
Copper,0.0012,mg/L,2018-05-10,AZDEQ_SW-1052,AZDEQ_SW,Final
Copper,0.0005,mg/L,2018-08-13,MDEQ_WQ_WQX-Y06YELSR04,Montana DEQ WQPB,Final
Copper,0.01,mg/L,2018-01-16,21SC60WQ_WQX-E-011,South Carolina Department of Environmental Services,Final
Copper,0.00051,mg/L,2018-11-07,AZDEQ_SW-2585,AZDEQ_SW,Final
Copper,0.0009,mg/L,2018-07-17,USACOEND-CHE10044,"U.S. Army Corps of Engineers, Nashville District",Final
Copper,0.01,mg/L,2018-12-13,21SC60WQ_WQX-CL-019,South Carolina Department of Environmental Services,Final
Copper,0.0006,mg/L,2018-08-23,MDEQ_WQ_WQX-M10SMTHR40,Montana DEQ WQPB,Final
Copper,0.01,mg/L,2018-04-02,21SC60WQ_WQX-MD-117,South Carolina Department of Environmental Services,Final
Copper,0.00069,mg/L,2018-05-09,AZDEQ_SW-47,AZDEQ_SW,Final
Copper,0.2,mg/L,2018-08-12,AZDEQ_SW-562,AZDEQ_SW,Final
Copper,0.01,mg/L,2018-08-29,21SC60WQ_WQX-B-044,South Carolina Department of Environmental Services,Final
Copper,0.00052,mg/L,2018-09-04,AZDEQ_SW-61943,AZDEQ_SW,Final
Copper,0.0006,mg/L,2018-06-20,USACOEND-BAR10043,"U.S. Army Corps of Engineers, Nashville District",Final
Copper,0.01,mg/L,2018-09-05,21SC60WQ_WQX-PD-038,South Carolina Department of Environmental Services,Final
Copper,0.0,mg/L,2018-08-13,LOWERARKVALLEYWATERCONSDIST-Diamond A Timpas,Lower Arkansas Valley Water Conservation District,Final
Copper,0.17,mg/L,2018-10-01,AZDEQ_SW-2159,AZDEQ_SW,Final
Copper,0.001,mg/L,2018-08-07,MDEQ_WQ_WQX-Y23YELLR03,Montana DEQ WQPB,Final
Copper,0.01,mg/L,2018-10-02,21SC60WQ_WQX-S-319,South Carolina Department of Environmental Services,Final
Copper,0.000343,mg/L,2018-10-25,MIDNITE_2-MW-04,Midnite Mine Environmental Data,Final
Copper,0.0025,mg/L,2018-06-14,AZDEQ_SW-2467,AZDEQ_SW,Final
Copper,0.002,mg/L,2018-06-08,MTVOLWQM_WQX-DS_SMITH_R_ROAD,Montana Volunteer Water Quality Monitoring,Final
Copper,0.015,mg/L,2018-03-21,MDEQ_REM_WQX-SS-13,Montana DEQ Remediation,Final
Copper,0.01,mg/L,2018-09-05,21SC60WQ_WQX-PD-371,South Carolina Department of Environmental Services,Final
Copper,0.038,mg/L,2018-06-06,MDEQ_REM_WQX-SS-14,Montana DEQ Remediation,Final
Copper,0.0012,mg/L,2018-12-05,AZDEQ_SW-860,AZDEQ_SW,Final
Copper,0.0,mg/L,2018-11-13,FRESHWATER_INSTITUTE-Sacharuna Springs- Meadow,Megan Murray (Volunteer),Final
Copper,0.00283,mg/L,2018-02-20,AKDECAKMAP-SDM17-Unuk River 2,Alaska Monitoring and Assessment Program,Final
Copper,1.5,mg/L,2018-08-22,AZDEQ_SW-2440,AZDEQ_SW,Final
Copper,0.0006,mg/L,2018-06-20,MDEQ_WQ_WQX-Y03YELSR26,Montana DEQ WQPB,Final
Copper,0.0135,mg/L,2018-05-20,SMWC-SMWC_26_MC,San Miguel Watershed Coalition (Volunteer)*,Final
Copper,0.98,mg/L,2018-06-29,CMCNRMI_WQX-LFP-05,Colorado Mountain College Natural Resource Management,Final
Copper,0.001,mg/L,2018-06-11,MDEQ_WQ_WQX-Y23YELLR50,Montana DEQ WQPB,Final
Copper,0.0026,mg/L,2018-08-02,AZDEQ_SW-61935,AZDEQ_SW,Final
Copper,0.01,mg/L,2018-09-24,21SC60WQ_WQX-SV-374,South Carolina Department of Environmental Services,Final
Copper,0.000582,mg/L,2018-08-08,KNRD_WQX-PUMP,Kalispel Indian Community of the Kalispel Reservation (Tribal),Final
Copper,0.01,mg/L,2018-03-19,21SC60WQ_WQX-CW-057,South Carolina Department of Environmental Services,Final
Copper,0.01,mg/L,2018-10-17,21SC60WQ_WQX-MD-257,South Carolina Department of Environmental Services,Final
Copper,0.0022,mg/L,2018-12-13,AZDEQ_SW-550,AZDEQ_SW,Final
Copper,0.00862,mg/L,2018-09-15,11NPSWRD_WQX-GRSM_F_0040,National Park Service Water Resources Division,Final
Copper,0.01,mg/L,2018-05-03,21SC60WQ_WQX-ST-005,South Carolina Department of Environmental Services,Final
Copper,0.27,mg/L,2018-09-27,CMCNRMI_WQX-LFP-05,Colorado Mountain College Natural Resource Management,Final
Copper,0.006,mg/L,2018-10-09,CEDEN-CO_27,California State Water Resources Control Board,Final
Copper,0.0011,mg/L,2018-03-20,AZDEQ_SW-1144,AZDEQ_SW,Final
Copper,0.01,mg/L,2018-05-22,21SC60WQ_WQX-PD-078,South Carolina Department of Environmental Services,Final
Copper,0.0028,mg/L,2018-09-19,AZDEQ_SW-2680,AZDEQ_SW,Final
Copper,0.0033,mg/L,2018-09-19,AZDEQ_SW-61695,AZDEQ_SW,Final
Copper,0.0,mg/L,2018-06-04,LOWERARKVALLEYWATERCONSDIST-McClave 8,Lower Arkansas Valley Water Conservation District,Final
Copper,0.01,mg/L,2018-04-05,21SC60WQ_WQX-MD-116,South Carolina Department of Environmental Services,Final
Copper,0.0003,mg/L,2018-08-15,USACOEND-CEN20002,"U.S. Army Corps of Engineers, Nashville District",Final
Copper,0.01,mg/L,2018-03-15,21SC60WQ_WQX-RL-18142,South Carolina Department of Environmental Services,Final
Copper,0.01,mg/L,2018-07-12,21SC60WQ_WQX-MD-085,South Carolina Department of Environmental Services,Final
Copper,0.002,mg/L,2018-08-06,MDEQ_WQ_WQX-K01CNNFC01,Montana DEQ WQPB,Final
Copper,0.01,mg/L,2018-03-08,21SC60WQ_WQX-CSTL-102,South Carolina Department of Environmental Services,Final
Copper,0.01,mg/L,2018-01-04,21SC60WQ_WQX-C-075,South Carolina Department of Environmental Services,Final
Copper,0.27,mg/L,2018-08-22,AZDEQ_SW-2472,AZDEQ_SW,Final
Copper,0.0,mg/L,2018-08-13,LOWERARKVALLEYWATERCONSDIST-Diamond A East North,Lower Arkansas Valley Water Conservation District,Final
Copper,0.0015,mg/L,2018-08-17,AZDEQ_SW-748,AZDEQ_SW,Final
Copper,0.01,mg/L,2018-07-18,21SC60WQ_WQX-C-015,South Carolina Department of Environmental Services,Final
Copper,1.09,mg/L,2018-05-10,CMCNRMI_WQX-LFP-01,Colorado Mountain College Natural Resource Management,Final
Copper,0.067,mg/L,2018-07-05,MDEQ_REM_WQX-CFR-34,Montana DEQ Remediation,Final
Copper,0.01,mg/L,2018-09-10,21SC60WQ_WQX-SV-203,South Carolina Department of Environmental Services,Final
Copper,4.09,mg/L,2018-10-03,CMCNRMI_WQX-LFP-01,Colorado Mountain College Natural Resource Management,Final
Copper,0.017,mg/L,2018-09-13,MDEQ_REM_WQX-SS-11C,Montana DEQ Remediation,Final
Copper,0.001,mg/L,2018-07-05,MDEQ_REM_WQX-FC-CFR,Montana DEQ Remediation,Final
