CharacteristicName,ResultMeasureValue,ResultMeasure/MeasureUnitCode,ActivityStartDate,MonitoringLocationIdentifier,OrganizationFormalName,ResultStatusIdentifier
Manganese,0.275,mg/L,2020-06-16,ARDEQH2O_WQX-RED0063,Arkansas Department of Environmental Quality,Final
Manganese,0.0857,mg/L,2020-12-22,11NPSWRD_WQX-GRSM_ND_TF,National Park Service Water Resources Division,Final
Manganese,0.058,mg/L,2020-11-17,OREGONDEQ-16706-ORDEQ,Department of Environmental Quality - State of Oregon,Final
Manganese,0.0154,mg/L,2020-10-13,42SRBCWQ_WQX-CNWG011.3-4076,Susquehanna River Basin Commission,Final
Manganese,0.0609,mg/L,2020-02-18,ARDEQH2O_WQX-WHI0074,Arkansas Department of Environmental Quality,Final
Manganese,0.546,mg/L,2020-02-13,MONT_PPL_WQX-1156D,Montana PPL Corporation,Final
Manganese,0.056,mg/L,2020-06-04,21SC60WQ_WQX-SV-370,South Carolina Department of Environmental Services,Final
Manganese,0.0013,mg/L,2020-11-03,EVR-RG_BORDER_L1,EVR Operations Limited,Final
Manganese,0.188,mg/L,2020-05-12,ARDEQH2O_WQX-UWDPC01,Arkansas Department of Environmental Quality,Final
Manganese,0.125,mg/L,2020-08-04,ARDEQH2O_WQX-OUA0228,Arkansas Department of Environmental Quality,Final
Manganese,0.00269,mg/L,2020-07-07,EVR-RG_GRASMERE,EVR Operations Limited,Final
Manganese,0.023,mg/L,2020-07-20,MTVOLWQM_WQX-ELKMM_EK18,Montana Volunteer Water Quality Monitoring,Final
Manganese,0.00011,mg/L,2020-11-04,EVR-RG_GRASMERE,EVR Operations Limited,Final
Manganese,0.038,mg/L,2020-10-08,21AWIC-1110,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,Final
Manganese,0.0469,mg/L,2020-03-03,ARDEQH2O_WQX-ARK0164,Arkansas Department of Environmental Quality,Final
Manganese,0.013,mg/L,2020-05-15,MONT_PPL_WQX-1165D,Montana PPL Corporation,Final
Manganese,0.023,mg/L,2020-07-20,MTVOLWQM_WQX-ELKMM_EK25,Montana Volunteer Water Quality Monitoring,Final
Manganese,0.715,mg/L,2020-12-07,MONT_PPL_WQX-169M,Montana PPL Corporation,Final
Manganese,0.0511,mg/L,2020-09-29,ARDEQH2O_WQX-RED0087,Arkansas Department of Environmental Quality,Final
Manganese,6.12,mg/L,2020-11-04,MONT_PPL_WQX-644D,Montana PPL Corporation,Final
Manganese,0.029,mg/L,2020-06-11,21SC60WQ_WQX-BL-001,South Carolina Department of Environmental Services,Final
Manganese,0.017,mg/L,2020-09-23,MONT_PPL_WQX-1174D-CCR,Montana PPL Corporation,Final
Manganese,0.475,mg/L,2020-08-25,ARDEQH2O_WQX-BEL0001,Arkansas Department of Environmental Quality,Final
Manganese,0.00206,mg/L,2020-12-02,EVR-RG_USGOLD,EVR Operations Limited,Final
Manganese,0.001,mg/L,2020-08-06,UTAHDWQ_WQX-4936050,Utah Department Of Environmental Quality,Accepted
Manganese,0.19,mg/L,2020-07-22,WVDEP_WQX-17351,West Virginia Department of Environmental Protection-Division of Water & Waste Management-Watershed Assessment Branch,Accepted
Manganese,0.008,mg/L,2020-05-27,21NMEX_WQX-50PecosR697.0,NM Environmental Dept./SWQB,Final
Manganese,0.001,mg/L,2020-09-21,MSI-Priest,Mountain Studies Institute (MSI),Final
Manganese,0.105,mg/L,2020-03-25,MONT_PPL_WQX-992D,Montana PPL Corporation,Final
Manganese,0.1,mg/L,2020-06-24,SRSTEPA-SW-CB-380-05,Standing Rock Sioux Tribe,Final
Manganese,0.015,mg/L,2020-08-18,21FLORAN_WQX-RC10N,Orange County Environmental (Florida),Final
Manganese,1.34,mg/L,2020-11-05,MONT_PPL_WQX-1203D,Montana PPL Corporation,Final
Manganese,0.00687,mg/L,2020-04-14,EVR-RG_GRASMERE,EVR Operations Limited,Final
Manganese,0.007,mg/L,2020-03-03,21FLORAN_WQX-RC13M,Orange County Environmental (Florida),Final
Manganese,3.3,mg/L,2020-08-25,WVDEP_WQX-5842,West Virginia Department of Environmental Protection-Division of Water & Waste Management-Watershed Assessment Branch,Accepted
Manganese,0.194,mg/L,2020-04-21,OREGONDEQ-14187-ORDEQ,Department of Environmental Quality - State of Oregon,Final
Manganese,5.9,mg/L,2020-11-04,MONT_PPL_WQX-966A,Montana PPL Corporation,Final
Manganese,0.0383,mg/L,2020-02-03,ARDEQH2O_WQX-OUA0244,Arkansas Department of Environmental Quality,Final
Manganese,0.0058,mg/L,2020-02-10,EVR-RG_DSELK_R2,EVR Operations Limited,Final
